Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16
Amazon Web Services; CSS; Desenvolvimento aplicativos da web; Desenvolvimento de front-end; HTML5; Next.js; React.js; SQL; Web Design Responsivo;;;;;;;
Amazon Simple Notification Service (SNS); Boas práticas de programação; HTML; Interface de programação de aplicativos (API); Java; JavaScript; Metodologias ágeis;;m cascata; Monitoramento de aplicativos; PaaS (Plataforma como serviço); Programação (computação);;;;
Definição de requisitos;;;;;;;;;;;;;;;
Acesso de banda larga; Desenvolvimento de front-end; JavaScript; Product Specification; Tecnologias;mergentes;;;;;;;;;;
Análise de documentos; Comunicação; Comunicação interpessoal; Comércio internacional; Criação de relacionamentos; Economia; Redação; Relacionamentos interpessoais; Resiliência; Trabalho;m;quipe;;;;
Aplicativos móveis; CSS; Desenvolvimento de front-end; Desenvolvimento de software; Experiência do usuário (UX); HTML; JavaScript; Produtos de consumo; Templating; Web Design Responsivo;;;;;;
Algoritmos; CSS; Desenvolvimento de aplicativos móveis; Desenvolvimento de front-end; Desenvolvimento de software; Design de algoritmos; HTML; JavaScript; Mobile Software Development; TypeScript;;;;;;
BPMN; CSS; Desenvolvimento orientado a testes; Git; Java; JavaScript; Kotlin; SASS; Spring Framework; TypeScript;;;;;;
Ciência da computação; Desenvolvimento de software; Engenharia de Computação; Linguagens de programação; Resolução de problemas;;;;;;;;;;;
Blockchain; Ethereum; Express.js; JavaScript; MySQL; Node.js; React Native; React.js; Solidity;;;;;;;
Desenvolvimento de front-end; IO (linguagem de programação);;;;;;;;;;;;;;
CSS; HTML; JavaScript; SASS; Vanilla;;;;;;;;;;;
CSS; Desenvolvimento aplicativos da web; Desenvolvimento de software; Docker; HTML; Inglês; JavaScript; MobX; Princípios de design; Resolução de problemas;;;;;;
Criação de filhos; GoldMine (CRM); Identificação de oportunidade; Lógica; Marketing Cloud da Salesforce; Microsoft Excel; Paternity; Programação lógica; Relatório; Trabalho;m;quipe;;;;
Azure DevOps; Bamboo; Bash; Criação de scripts; DevOps; Docker; Java; Python; Windows Azure; Windows PowerShell;;;;;;
Definição de requisitos; Node.js; React.js; Requisitos técnicos;;;;;;;;;;;;
Aplicativo de relatórios; Definição de requisitos; Desenvolvimento de front-end; Experiência do usuário (UX); Highcharts; Interfaces; Intuitiveness; Obrigação de reporte de informações; TypeScript; Visualização;;;;;;
Algoritmos; CSS; Desenvolvimento de aplicativos móveis; Desenvolvimento de front-end; Desenvolvimento de software; Design de algoritmos; HTML; JavaScript; Mobile Software Development; TypeScript;;;;;;
Design de;xperiência do usuário (UX); Liderança de;quipe;;;;;;;;;;;;
CMMI (Modelo integrado de maturidade;m capacitação); Garantia de qualidade; Garantia de qualidade de software; Habilidades analíticas; Inglês; MIL-STD; Microsoft Excel; Microsoft Office; Microsoft Visio; Normas ISO;;;;;
Ambiente ágil; C#; CSS; Desenvolvimento de software; HTML; Java; JavaScript; Programação (computação); Programação lógica; Trabalho;m;quipe;;;;
Babel.js; CSS; GatsbyJS; HTML; JavaScript; Modelo de objeto de documentos; React.js;;;;;;;;;
Angular (Framework); Banco de dados; Bancos de dados relacionais; CSS; Desenvolvimento de back-end; Desenvolvimento full stack; EJB; HTML; JPA (Java Persistence API); Java; Resolução de problemas;;;;;
Arquitetura técnica; Conselho técnico; Definição de requisitos; Desenvolvimento de software; Implantação de software; Job Skills; Requisitos de negócio; Requisitos técnicos; Resolução de problemas; SDLC (Ciclo de vida do desenvolvimento de software);;;;;;
CSS; Desenvolvimento de back-end; Desenvolvimento de front-end; HTML; Hooks; Redux.js;;;;;;;;;;
Babel.js; Bancos de dados relacionais; ESLint; Filas; HTML; Java; JavaScript; PostgreSQL; React.js; Webpack;;;;;;
Administração; Documentação; Gestão logística; Indústria manufatureira; Linhas de produção; Litígios; Microsoft Excel; PCP; Planilha;letrônica; Sistemas operacionais;;;;;
CSS; Certificação ITIL; Gestão de;ventos; ITIL; Instrução; JavaScript; Programação (computação); Programação lógica; ServiceNow; Serviços web;;;;;
