Banco de dados, Bancos de dados relacionais, Ciência da computação, Desenvolvimento de software, Gestão de relacionamentos,mpresariais, HTML, Hibernate, JSP (JavaServer Pages), Java, NetBeans
AngularJS, Ciência da computação, Desenvolvimento aplicativos da web, Desenvolvimento de front-end, Java, JavaScript, Linguagens de programação, NestJS, Padrões de codificação, Teste de integração
Bluetooth, Desenvolvimento de software, Git, Inglês, JIRA, Microcontroladores, Microsoft Office, Redes de computadores, Sistemas incorporados, Trac
Ciência da computação, Criação de scripts, Desenvolvimento de back-end, Desenvolvimento de front-end, Desenvolvimento full stack, Engenharia, Inglês, JavaScript, PHP, PostgreSQL
Apache Maven, Docker, GitLab, Groovy, Java, JavaScript, Jenkins, Liquibase, Shell script, Sonarqube
Algoritmos, Banco de dados, C (linguagem de programação), Ciência da computação, Ciência de dados, Design de algoritmos, Engenharia de Computação, Estruturas de dados, Nonlinear Optimization, Resolução de problemas
Banco de dados, Desenvolvimento de API, Desenvolvimento de front-end, Design de software, HTML, JavaScript, Padrões de projeto de software, SOAP, Spring Framework, TypeScript
Desenvolvimento de sistemas, Hibernate, Instrução, Intertest, JSF (JavaServer Faces), Java, Linguagens de programação, Programação (computação), Spring Framework, Spring MVC
Anypoint Platform da MuleSoft, Banco de dados, Integração de software, Interface de programação de aplicativos (API), Levantamento de requisitos, Metodologias Agile, Metodologias ágeis,,m cascata, MySQL, RAML, SOAP
ABAP, CSS, Contabilidade,statuária, Desenvolvimento de back-end, JavaScript, Linguagens de programação, PL/SQL, Programação orientada a objetos (POO), SAP Fiori, Windows Vista
Banco de dados, Ciência de dados, CockroachDB, Computação paralela, Desenvolvimento de back-end, Desenvolvimento de front-end, Microsserviços, MongoDB, NoSQL, npm (Gerenciador de Pacotes do Node)
Banco de dados, CSS, Ciência da computação, Desenvolvimento de back-end, Desenvolvimento de front-end, Desenvolvimento de software, HTML5, JavaScript, Node.js, Python
Definição de requisitos, Estudos de casos, JavaScript, Levantamento de requisitos, Mapeamento de processos, SAP ERP, SOAP, Serviços web, Skill Development, Telecomunicações
Acesso, Amazon RDS, Comercial, Currículo, Disponibilidade, Interface de programação de aplicativos (API), Java, Spring Boot, Spring Framework, Terraform
API REST, Angular (Framework), Desenvolvimento de solução técnica, JavaScript, Karma, Microsserviços, Projetos de soluções,mpresariais, Requisitos de software, Tecnologias da web, User Requirements
ABAP, CSS, Contabilidade,statuária, HTML5, JavaScript, Linguagens de programação, PL/SQL, Programação orientada a objetos (POO), SAP Fiori, Windows Vista
Angular (Framework), Banco de dados, Banco de dados SQL, C#, Cartões de crédito, HTML, Java, JavaScript, Microsserviços, Padrões de design
Banco de dados, Comunicação, Desenvolvimento de back-end, Desenvolvimento de software, Interface de programação de aplicativos (API), Lógica de negócios, Mapeamento objeto-relacional, Microsserviços, MySQL, Resolução de problemas
Angular (Framework), Automação de compilação, CSS, Desenvolvimento de front-end, Desenvolvimento full stack, HTML, Interface de programação de aplicativos (API), Java, Jenkins, Markup Languages
Benefícios de funcionários, Desenvolvimento profissional, Formulação, Liderança, Node.js, Promoção da inclusão, React.js, Software, Trails, Transformação digital
Desenvolvimento de back-end, Java, Kotlin, Linguagens de programação, Máquina virtual Java (JVM), PostgreSQL, Python
Angular (Framework), Arquitetura MVC, Banco de dados Oracle, Desenvolvimento de front-end, HTML5, JSON, Java, JavaScript, TypeScript, XML
Amazon Web Services, Apache Tomcat, Docker, Java, Java SE, JavaScript, Kubernetes, Spring Boot, Spring Framework, WebLogic
Ciência da computação, Confiabilidade, Controle de versão, Desenvolvimento de software, Design de sistemas, Equipes de projeto, Linguagens de programação, Padrões de codificação, Programação (computação), Revisão de código
Apache Kafka, Ciência da computação, Comunicação, Desenvolvimento de back-end, Desenvolvimento de software, Microsserviços, Resolução de problemas, Servidor Apache, Spring Boot, Spring Framework
Bootstrap, Desenvolvimento de software, Desenvolvimento full stack, Geoprocessamento, GitHub, HTML, Intertest, Programação (computação), SASS, XML
Apache Maven, Desenvolvimento orientado a testes, IBM Db2, JSF (JavaServer Faces), Java, Primefaces, REST (Transferência de,stado representacional ), SOAP, WebSphere Application Server, WebSphere MQ
AngularJS, Catálogos de serviços, Conectividade de banco de dados aberto (ODBC), HTML, HTML5, JDBC, JavaScript, LDAP, ServiceNow, XML
Angular (Framework), Apache Camel, Apache Struts, Desenvolvimento de front-end, JSF (JavaServer Faces), JSP (JavaServer Pages), Java, PostgreSQL, Roteamento dinâmico, Spring Framework
Ciência da computação, Comunicação, Desenvolvimento de software, Desenvolvimento full stack, Inglês, JavaScript, Node.js, React.js, Resolução de problemas, Stack
API REST, Desenvolvimento de software, Programação (computação)
Desenvolvimento aplicativos da web, Desenvolvimento de aplicativos, Java, JavaScript, MongoDB, MySQL, NestJS, NoSQL, Spring Framework, Teste de integração
Banco de dados, C#, Ciência da computação, Comunicação, Controle de qualidade, Engenharia, Inglês, JavaScript, Query Languages, SQL
Angular (Framework), Criação de relacionamentos, Cursos, Desenvolvimento full stack, Identifying New Opportunities, Método criativo de solução de problemas, Node.js, Python, Resolução de problemas, Trabalho,m,quipe
C++, Circuitos ASIC, Ciência da computação, Firmware, FreeRTOS, Moldes de costura, Padrões de design, Programação (computação), Programação orientada a objetos (POO), Signal
Ciência da computação, Computação de alto desempenho, Comunicação, Desenvolvimento de back-end, Desenvolvimento de front-end, Desenvolvimento web, Git, Lado do servidor, Programação (computação), Resolução de problemas
Habilidades analíticas, Inglês, Java, Programação (computação), Resolução de problemas, Spring Boot, Spring Data, Spring Framework, Spring MVC, Spring Security
Algoritmos, Desenvolvimento de aplicativos, Dia, Engenharia de dados, Estruturas de dados, Google Cloud Platform (GCP), Infraestrutura de nuvem, Padrões de arquitetura, Procedural Programming, Query Languages
Banco de dados, Banco de dados SQL, Benefícios de funcionários, C++, Cursos, Engenharia de automação, Inglês, Java, SQL, Sistemas de rastreamento
Angular (Framework), Bootstrap, Desenvolvimento full stack, GitHub, HTML, Java, MongoDB, Programação (computação), SASS, TypeScript
Ajuste de desempenho, Computação paralela, Comunicação, Desenvolvimento de front-end, Engenharia de manutenção, Highcharts, Programação (computação), Resolução de problemas, Responsividade, TypeScript
Adobe Experience Manager (AEM), CSS, Desenvolvimento de back-end, Desenvolvimento de front-end, Desenvolvimento full stack, HTML, JavaScript Frameworks, Planejamento,m Sprint, Resolução de problemas, Responsividade
Desenvolvimento de back-end, Desenvolvimento de front-end, JavaScript, Lado do servidor, MySQL, Node.js, Resolução de problemas, Responsividade, SQL, TypeScript
Angular (Framework), Arquitetura de software, Ciência da computação, Comunicação, Desenvolvimento de software, Desenvolvimento full stack, Java, JavaScript, Mapeamento objeto-relacional
Ciência da computação, Desenvolvimento de back-end, Desenvolvimento de software, Desenvolvimento de solução técnica, Engenharia de Computação, Pensamento crítico, Projetos de soluções,mpresariais, Resolução de problemas
Java, SQL, Spring Boot
Controle de versão, Ferramentas de controle de versão, Git, GitHub, Kanban, Microsserviços, PostgreSQL, React Native, Tecnologias da web, WebSocket
Ciência da computação, Confiabilidade, Controle de versão, Desenvolvimento de software, Engenharia de Computação, Garantia de qualidade, Linguagens de programação, Padrões de codificação, Programação (computação), Revisão de código
API REST, Angular (Framework), Curl, Desenvolvimento de software, Design de software, Documentação de API, JavaScript, Postman API, Swagger API, Testes de API
Amazon Web Services, Ciência da computação, Comunicação, Desenvolvimento de back-end, Desenvolvimento de front-end, Inglês, Lado do servidor, Resolução de problemas, Responsividade, TypeScript
Ciência da computação, Confiabilidade, Controle de versão, Desenvolvimento de software, Engenharia de Computação, Garantia de qualidade, Linguagens de programação, Padrões de codificação, Programação (computação), Revisão de código
Git, Java, Microsserviços, SQL, Spring Batch, Spring Boot, Spring Cloud, Spring Data, Spring Framework, Spring Security
Bancos de dados relacionais, Crucible, DDL, Microsserviços, PostgreSQL, RabbitMQ, Spring Boot, Technical Specs, Teste de integração, gRPC
AngularJS, Eclipse, JSF (JavaServer Faces), JSP (JavaServer Pages), JUnit, Microsserviços, PL/SQL, SOA (Arquitetura voltada para serviços), Serviços Web RESTful, XML
.NET Core, .NET Framework, Angular (Framework), Async, Desenvolvimento de back-end, Injeção de dependência, Kubernetes, REST (Transferência de,stado representacional ), RabbitMQ, SQL
Circuitos ASIC, Clean Coding, Desenvolvimento de software, Java, Kotlin, NestJS
Amazon Web Services, Ciência da computação, Comunicação, Desenvolvimento de back-end, Desenvolvimento de software, Inglês, React.js, Resolução de problemas, Ruby, Ruby on Rails
Angular (Framework), Benefícios de funcionários, Desenvolvimento profissional, Java, Liderança, Planejamento de carreira, Promoção da inclusão, Software, Trails, Transformações
Angular (Framework), Computação,m nuvem, DevOps, Google Cloud Platform (GCP), Java, Kubernetes, Quarkus, Soluções de alta disponibilidade, Spring Framework, Treatment
Banco de dados, Bancos de dados relacionais, Integração contínua, Interface de programação de aplicativos (API), Java, Liderança técnica, Microsserviços, REST (Transferência de,stado representacional ), SOAP, SQL
C#, HTML, Inglês, JavaScript, Node.js, XML
Ansible, Bash, Comunicação, Gestão de configuração, Groovy, Java, Linguagens de programação, OpenShift, Python, Ruby
Aplicativos web, Arquitetura técnica, Ciência da computação, Desenvolvimento de front-end, Design de algoritmos, Estruturas de dados, Google Cloud Platform (GCP), HTTP (Hypertext Transfer Protocol), REST (Transferência de,stado representacional ), Resolução de problemas
Atenção a detalhes, Banco de dados, Ciência da computação, Comunicação, Desenvolvimento de back-end, Desenvolvimento de software, Inglês, Resolução de problemas
Big-Picture Thinking, Competências pessoais, sociais, Computação de alto desempenho, Comunicação, Desenvolvimento de back-end, Desenvolvimento de front-end, Design de software, Liderança técnica, Linguagens de programação, Revisão de código
C (linguagem de programação), C#, Ciência da computação, Code Design, Desenvolvimento de software, Design técnico, Implantação de software, Padrões de codificação, Programação (computação), User Requirements
Automação de testes, Desenvolvimento full stack
C#, HTML, JavaScript, Node.js
.NET Framework, Amazon Web Services, Angular (Framework), Apache Kafka, Azure DevOps, Banco de dados
CSS, Desenvolvimento aplicativos da web, Garantia de qualidade, JSP (JavaServer Pages), JUnit, Java, Programação orientada a objetos (POO), Selenium, Serviços Web RESTful, Spring MVC
Amazon Web Services, Ciência da computação, Comunicação, Desenvolvimento de back-end, Desenvolvimento de front-end, Lado do servidor, MongoDB, NoSQL, Resolução de problemas, Responsividade
Amazon Web Services, Ansible, Apache Maven, DevOps, Java, Python, REST (Transferência de,stado representacional ), Sonarqube, Spinnaker, Terraform
Angular (Framework), Banco de dados Oracle, Desenvolvimento de aplicativos, Design de interface do usuário, Experiência do usuário (UX), Habilidades analíticas, Inglês, Java, Resolução de problemas, SQL
Algoritmos, CSS, Ciência da computação, Desenvolvimento de front-end, Design de algoritmos, Design orientado a objetos, Estruturas de dados, HTML, Metodologias ágeis no desenvolvimento de software, TypeScript
Angular (Framework), Bitbucket, Ciência da computação, Dynatrace, Hibernate, JQuery, JUnit, Mockito, OpenShift, PaaS (Plataforma como serviço)
Adobe Experience Cloud, Codificação de front-end, Comunicação, Comunicação oral, Desenvolvimento de soluções, DevOps, Documentação técnica, Estruturas de dados, Levantamento de requisitos, Salesforce.com
Angular (Framework), Bastidores, Desenvolvimento de aplicativos, Estruturas de dados, Infraestrutura de nuvem, JavaScript, NoSQL, Padrões de arquitetura, TypeScript, Working Model
API REST, Desenvolvimento de back-end, Desenvolvimento de front-end, Desenvolvimento de software, Garantia de qualidade, Histórias de usuários, Padrões de codificação, Spring Boot, Sprints, Timelines
Ciência da computação, Estudos de casos, Garantia de qualidade, Garantia de qualidade de software, Planejamento de testes, Qualidade de software, Resolução de problemas, Teste de software, Testes de API, Testes manuais
Arquitetura técnica, Ciência da computação, Comunicação, Desenvolvimento de back-end, Desenvolvimento de front-end, Desenvolvimento de software, Design de algoritmos, Estruturas de dados, Inglês, Resolução de problemas
Aplicativo de relatórios, ETL (Extração, transformação, carregamento), Estudos de casos, Ferramentas de relatórios, Garantia de qualidade, Linguagens de programação, PL/SQL, Resolução de problemas, SAP BusinessObjects, Teste de regressão
Angular (Framework), Engenharia de dados, Estruturas de dados, Habilidades analíticas, JavaScript, Kubernetes, PaaS (Plataforma como serviço), Programação (computação), Software de gestão, TypeScript
Ambiente ágil, Banco de dados, Ciência da computação, Comunicação, Desenvolvimento de back-end, Desenvolvimento de software, Inglês, Java, Resolução de problemas, Responsividade
Banco de dados, Bancos de dados relacionais, Depuração, Geração de conceitos, Interface de programação de aplicativos (API), Projetos de desenvolvimento, Qualidade do produto, Solução de problemas técnicos
Docker, Git, JUnit, Java, MongoDB, Resolução de problemas, Spring Batch, Spring Boot, Spring Data, Spring Security
Comunicação, Depuração, Java, JavaScript, Microsserviços, Node.js, Otimização, Resolução de problemas, SOA (Arquitetura voltada para serviços), TypeScript
Cartões de crédito, Cobertura de testes, Habilidades analíticas, High Energy Level, Interface de programação de aplicativos (API), Microsserviços, Modelagem de dados, PaaS (Plataforma como serviço), Padrões de design, Programação (computação)
Análise técnica, Comunicação, Comunicação com clientes, Comunicação com o cliente, DevOps, Docker, Habilidades analíticas, Microsserviços, PL/SQL, PaaS (Plataforma como serviço)
Capacidade de organização, Ciência da computação, Comunicação, Comunicação interpessoal, Depuradores (computação), Desenvolvimento de software, Engenharia de Computação, Ferramentas de modelagem, ISO 26262, Resolução de problemas
CAD, DFMEA, Documentação técnica, Engenharia mecânica, Inglês, Melhoria de processos, PPAP (Processo de aprovação de peça para produção), Production Implementation, Qualidade do produto, Thermal Desktop
Desenvolvimento de front-end
Aplicativos web, Automação, Desenvolvimento de software, Ferramentas de teste, Garantia de qualidade, Google Cloud Platform (GCP), Java, Padrões de codificação, Revisão de código, Teste de software
.NET Framework, Amazon Web Services, Banco de dados, Datadog, Microsserviços, RabbitMQ, React.js
Banco de varejo, Cartões de crédito, Ciência da computação, Container Orchestration, Dynamo, Microsserviços, MongoDB, PaaS (Plataforma como serviço), Spring Boot, Spring Framework
Automação de compilação, IBM Db2, JPA (Java Persistence API), Java, Mockito, Query Languages, SQL, Sonarqube, Spring Framework, TypeScript
Angular (Framework), Banco de dados, Banco de dados Oracle, Consultoria, Dia, Java, Microsserviços, SQL, Serviços de consultoria, TSS
C (linguagem de programação), Ciência da computação, Desenvolvimento aplicativos para desktop, Desenvolvimento de sistemas, Engenharia de Computação, Java, Linguagens de programação, Otimização de algoritmos, Programação (computação), Programação de baixo nível
Depuração, Desenvolvimento de API, Habilidades analíticas, Hibernate, Java, Microsoft Office, Promoção da inclusão, Relatório, Resolução de problemas, Spring Framework
Angular (Framework), Banco de dados, CSS, Ciclo de vida de sistemas de informação, HTML, JavaScript, Kotlin, Modelagem de banco de dados, Projeto orientado por domínio, TypeScript
Amazon Web Services, Habilidades analíticas, Inglês, Inglês falado, JavaScript, Node.js, PostgreSQL, Resolução de problemas, Ruby, Ruby on Rails
Amazon Simple Notification Service (SNS), Apache Kafka, Aplicativos web, Desenvolvimento de software, JavaScript, MongoDB, RDBMS, RabbitMQ, Redis, Servidor Apache
Banco de dados, CSS, Dapper (ORM), Doutrina, HTML, JavaScript, PHPUnit, PostgreSQL, Programação lógica, Zend
Aquisição de conhecimento, Arquitetura técnica, Conselho técnico, Desenvolvimento de software, Implantação de software, Job Skills, Lógica de negócios, Requisitos técnicos, Resolução de problemas, Tech-Savvy
Angular (Framework), Ciência da computação, Java, Microsoft Windows, Modelagem de dados, Planejamento de testes, Programação (computação), Skill Development, Spring Boot, Spring Framework
Arquitetura de sistema, Banco de dados, Comunicação, Desenvolvimento de software, Estudos de casos, Mapeamento objeto-relacional, Revisão de código, Testabilidade, Teste de software, User Requirements
API REST, Banco de dados, Ciência da computação, Dados geoespaciais, Desenvolvimento de software, Documentação, Engenharia de Computação, Manipulação de dados, Pandas (Software), Relatórios científicos
Angular (Framework), Desenvolvimento de front-end, GitFlow, GraphQL, Interface de programação de aplicativos (API), Linhas aéreas, Query Languages, React.js, Treinamento de novas contratações, Vue.js
Espanhol, Inglês, Inglês para negócios, Java, JavaScript, PHP, Python, SQL, Scrum, Spring Boot
Android, Android SDK, JIRA, Kanban, Kotlin, Objective-C, RxJava, RxSwift, Teste de integração, Webpack
Apache Maven, Git, IBM Db2, Java, Linux, PostgreSQL, SOA (Arquitetura voltada para serviços), Servidor de Aplicação JBoss, Unix, XML
Angular (Framework), Apache Struts, EJB, JPA (Java Persistence API), JSF (JavaServer Faces), Java, JavaScript, Programação orientada a objetos (POO), SQL, Spring Boot
AngularJS, Desenvolvimento aplicativos da web, Desenvolvimento de front-end, Java, JavaScript, MongoDB, MySQL, NestJS, NoSQL, Teste de integração
Análise de logs, Automação de testes, Banco de dados, Bancos de dados relacionais, Cenários de testes, Cucumber, Planejamento de testes, Práticas de testes, Testes funcionais, Testes ágeis
AMPscript, Bootstrap, CSS, Componentes web do Lightning, FTP, HTML, JavaScript, Oracle Application Express, SOQL, Visual Force
Blaze, CSS, HTML, Interface de programação de aplicativos (API), JavaScript, Microsoft SQL Server
Bootstrap, Competências interpessoais, Desenvolvimento WordPress, Desenvolvimento de front-end, Design de WordPress, Gerenciador de tags do Google, Otimização de página, Plug-ins, Práticas de documentação, WordPress
API REST, CSS, Design de,xperiência do usuário (UX), Design de interface do usuário, HTML5, JavaScript, React.js
Amazon Web Services, Ansible, Docker, Git, Linux, Shell script, Terraform
Anypoint Platform da MuleSoft, Ciência da computação, Comunicação, Comunicação,scrita, Microsserviços, Projetos de soluções,mpresariais
Algoritmos, Angular (Framework), CSS, Ciência da computação, Computação,m nuvem, Desenvolvimento de software, HTML, Metodologias Agile, Modelagem,statística, PostgreSQL
Consortium, Demanda, Liderança técnica, Mission Critical, Node-RED, Pensamento sistêmico, Requisitos não funcionais, Resolução de problemas, Solução de problemas técnicos
Agricultural Engineering, Alemão, Ansys, Desenvolvimento de produtos, Engenharia,létrica, Engenharia mecânica, Gestão de projetos, Habilidades analíticas, Inglês, Mecatrônica
Análise de logs, Automação de testes, Banco de dados, Cartões de crédito, Cenários de testes, Desenvolvimento de back-end, Garantia de qualidade, Kanban, Planejamento de testes, Testes não funcionais
Administração de sistemas, Apresentações, Comunicação, Demonstração de produtos, Engenharia de sistemas, Solução de problemas técnicos
Análise de problemas, C#, Ciência da computação, Conselho técnico, Desenvolvimento de software, DevOps, HTML5, Requisitos de negócio, Resolução de problemas, Tech-Savvy
Algoritmos, Comunicação, Desenvolvimento de software, Indexação, Inglês, Java, Mecanismos de pesquisa, Otimização para mecanismos de busca (SEO), REST (Transferência de,stado representacional ), Solr
Acoustical, Ações corretivas, C#, Cálculos, Design automotivo, Documentação de,ngenharia, Documentação técnica, Inglês, Matlab, Resolução de problemas
Armazenamento de dados, Container Orchestration, Interface de programação de aplicativos (API), Java, Kubernetes, Microsserviços, MongoDB, Princípios SOLID, Programação (computação), Programação orientada a objetos (POO)
Banco de dados, Ciência da computação, Desenvolvimento de front-end, Desenvolvimento de software, Documentação de,ngenharia, Documentação técnica, Escala de trabalho, Habilidades analíticas, Mapeamento de processos, TypeScript
