Automação, Automação de processos, Automação de testes, Design de sistemas de controle, Engenharia,létrica, Garantia de qualidade, Robot Framework, Robótica, Solução de problemas técnicos, Tia Portal da Siemens
Análise de logs, Automação de testes, Banco de dados, Bancos de dados relacionais, Cenários de testes, Cucumber, Planejamento de testes, Práticas de testes, Testes funcionais, Testes ágeis
Ciência da computação, Comunicação, Estudos de casos, Garantia de qualidade, Planejamento de testes, Resolução de problemas, Teste de regressão
Comunicação, Dados de teste, Documentação, Engenharia de garantia da qualidade, Estudos de casos, Garantia de qualidade, Teste de dispositivos móveis, Teste de software, Testes de banco de dados, Testes manuais
Automação de QA, Data warehouse, ESL (Inglês como segunda língua), ETL (Extração, transformação, carregamento), Engenharia de garantia da qualidade, Ferramentas de automação de testes, Garantia de qualidade, Teste de dispositivos móveis, Teste de software, Testes de API
API REST, Desenvolvimento de software, DevOps, Garantia de qualidade, GitHub, Inglês, JMeter, PostgreSQL, SQL, Teste de unidade
Automação de QA, Automação de testes, Desenvolvimento de back-end, Estudos de casos, Garantia de qualidade, Planejamento de testes, Root Cause, Testes de API, Testes de banco de dados, Testes manuais
Automação de testes, Depuração, Ferramentas de automação de testes, Inglês, Interface gráfica de usuário, Java, JavaScript, Selenium, Solução de problemas técnicos, Testes manuais
Análise de causa raiz (RCA), Automação de QA, Automação de testes, Cypress, Garantia de qualidade, JIRA, Root Cause, Selenium, Testes de API, Testes manuais
Hardware-in-the-Loop, NI LabVIEW, NI TestStand, Telemática, Testes manuais
Automação de testes, Ciência da computação, Comunicação, Estudos de casos, Garantia de qualidade, Planejamento de testes, Resolução de problemas, Sistemas de software, Teste de desempenho, Testes de API
Análise de dados, Automação, Automação de processos, Automação industrial, Competências interpessoais, Controle de processos, Programação de interface homem-máquina, Sistema de identificação de materiais perigosos (HMIS), Técnicos,m campo, WinCC
Automação de testes, C#, Composição de textos dramatúrgicos, Cypress, Estudos de casos, Scripts de testes, Selenium, Teste de integração, Teste de sistemas, Teste de software
Arquitetura de sistema, Banco de dados, Comunicação, Desenvolvimento de software, Estudos de casos, Mapeamento objeto-relacional, Revisão de código, Testabilidade, Teste de software, User Requirements
Circuitos ASIC, Comunicação, Coordenação de,quipe, Coverage Analysis, Criação de scripts, Depuração, Power Estimation, Validação de sistemas computadorizados, Verificação funcional
Análise de causa raiz (RCA), Automação de QA, Automação de testes, Cypress, Garantia de qualidade, JIRA, Root Cause, Selenium, Testes de API, Testes manuais
Banco de dados, Encriptação, Engenharia, Gestão de incidentes, Gestão de licenças, Gestão de vulnerabilidade, Hardware Infrastructure, Inglês, Relatórios de indicadores-chave de desempenho (KPI), Solução de problemas técnicos
Amazon Web Services, DevOps, Docker, Git, Integração,,ntrega contínuas (CI/CD), Java, Jenkins, Kubernetes, Linux, Sonarqube
Garantia de qualidade, Hacking ético, Inglês, Kali Linux, Linux, Planejamento de testes, Realização de testes, Segurança de aplicativos web, Segurança de aplicações, Segurança de rede
Administração Unix, Administração de sistemas Linux, Automação de testes, DevOps, Ferramentas de automação de testes, Infraestrutura como código (IaC), Inglês, Integração,,ntrega contínuas (CI/CD), Linux, Resolução de problemas
Ciência da computação, Ciência de dados, Ciências atmosféricas, Comunicação, Controle de versão, ETL (Extração, transformação, carregamento), Engenharia de dados, Qualidade dos dados, Resolução de problemas, Transferência de dados
Aplicativos web, Automação, Desenvolvimento de software, Ferramentas de teste, Garantia de qualidade, Google Cloud Platform (GCP), Java, Padrões de codificação, Revisão de código, Teste de software
Amazon Web Services, C#, JSON, Linguagens de programação, PL/SQL, SQL, Shell script, UML (Linguagem de modelagem unificada), Visual Basic, XML
Capacidade de organização, Comunicação,scrita, Experiência profissional, Gestão de reclamações, Proficiência,m informática, Resolução de problemas
